,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Case Number.1,Case Number.2,Month
1670,2004-05-22,2004.0,Invalid,USA,Florida,St. Augustine  St. Johns County,Swimming,M,9,Single puncture wound on the foot,,,Shark involvement not confirmed,,,May
1671,2004-05-22,2004.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,9,Foot bitten,N,Afternoon,,,,May
1672,2004-05-22,2004.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Wading,F,24,Hips & thighs bitten,N,16h00,,,,May
1673,2004-05-18,2004.0,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Free diving & spearfishing,M,63,Left forearm bitten PROVOKED INCIDENT,N,15h00,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",2004-05-18,2004-05-18,May
1674,2004-05-04,2004.0,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"Mako shark, 1.8 m [6']",2004-05-04,2004-05-04,May
1675,2004-05-01,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade ,Swimming,M,22,FATAL,Y,Afternoon,,2004-05-01,2004-05-01,May
1676,2004-04-26,2004.0,Unprovoked,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",Diving,M,,Puncture wounds on wrist,N,Morning,"Wobbegong shark, 1.2 m [4'] k",2004-04-26,2004-04-26,April
1677,2004-04-22,2004.0,Boat,NEW ZEALAND,North Island,Motunui,Fishing,,,"No injury to occupants, boat scratched by shark",N,,"White shark, 5.5 m [18']",2004-04-22,2004-04-22,April
1678,2004-04-13,2004.0,Unprovoked, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,,small sharks,,,April
1679,2004-04-13,2004.0,Invalid, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,,Questionable Incident,,,April
1680,2004-04-07,2004.0,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,Tiger shark,2004-04-07,2004-04-07,April
1681,2004-04-05,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,14h00,5 m [16.5'] white shark,2004-04-05,2004-04-05,April
1682,2004-04-04,2004.0,Invalid,USA,Hawaii,Velzyland,Surfing,F,22,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",,,Shark involvement prior to death was not confirmed,2004-04-04,2004-04-04,April
1683,2004-03-31,2004.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,26,Right foot bitten,N,,,,,March
1684,2004-03-31,2004.0,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark,,,March
1685,2004-03-29,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,07h30,bull shark,2004-03-29,2004-03-29,March
1686,2004-03-28,2004.0,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,,Heel bitten,N,15h00,bull shark,2004-03-28,2004-03-28,March
1687,2004-03-27,2004.0,Unprovoked,REUNION,Saint-Benoît,Spot de la gare,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 m shark,,,March
1688,2004-03-27,2004.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,,,,March
1689,2004-03-14,2004.0,Unprovoked,USA,Hawaii,Punaluu,Snorkeling,F,,Lacerations to left foot,N,10h00,1.8 m [6'] shark,2004-03-24,2004-03-24,March
1690,2004-03-22,2004.0,Unprovoked,NEW ZEALAND,North Island,Te Arai Point,Spearfishing,M,,No injury,N,12h30,Bronze whaler shark,2004-03-22,2004-03-22,March
1691,2004-03-16,2004.0,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",2004-03-16,2004-03-16,March
1692,2004-03-06,2004.0,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Spearfishing,M,47,Shin & calf bitten,N,,"Bronze whaler shark, 1.5 m [5'] ",2004-03-06,2004-03-06,March
1693,2004-02-29,2004.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,15h00,,2004-02-29,2004-02-29,February
1694,2004-02-26,2004.0,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,Thigh lacerated,N,19h00,2 m [6.75'] sevengill  shark,2004-02-26,2004-02-26,February
1695,2004-02-21,2004.0,Unprovoked,AUSTRALIA,New South Wales,"Taree, Old Bar Beach",Swimming,M,,Three toes lacerated,N,,,2004-02-21,2004-02-21,February
1696,2004-02-16,2004.0,Invalid,AUSTRALIA,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Free diving & spearfishing,M,31,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",,11h00,Shark involvement not confirmed,2004-02-16,2004-02-16,February
1697,2004-02-14,2004.0,Unprovoked,EGYPT,,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,,FATAL,Y,,,2004-02-14,2004-02-14,February
1698,2004-02-11,2004.0,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,Snorkeling,M,22,Leg bitten,N,,"60 cm [23.6""] blind or brown shark",2004-02-11,2004-02-11,February
1699,2004-01-25,2004.0,Unprovoked,AUSTRALIA,Western Australia,Binningup,Scuba diving,M,46,Left leg bitten,N,11h05,4 m to 5 m [13' to 16.5'] white shark,2004-01-25,2004-01-25,January
1700,2004-01-23,2004.0,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,Surfing,M,21,Puncture wounds to dorsum of right foot,N,,Possibily a  1.5 to 2 m sandtiger shark,2004-01-23,2004-01-23,January
1701,2004-01-22,2004.0,Invalid,NEW ZEALAND,Northlands,90 Mile Beach,Boogie boarding,M,,"No injury, swim fin damaged",,,Shark involvement doubtful,2004-01-22,2004-01-22,January
1702,2004-01-21,2004.0,Unprovoked,VENEZUELA,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,,Lower back & hand bitten,N,14h30,"Bull shark, 1.65 m [5'5""] was speared & killed",,,January
1703,2004-01-21,2004.0,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,40,Right leg bitten,N,11h00,"Bull shark, 132-kg [291-lb] ",,,January
1704,,2004.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Ballito,Surf skiing,M,,"No injury to occupants, stern of ski bitten",N,,"Mako shark, 3 m to 4 m [10' to 13'] ",,,
1705,2004-01-12,2004.0,Unprovoked,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,Diving,M,,"No injury, swim fin ripped off",N,Midday,"Raggedtooth shark, 3.5 m [11.5'] ",2004-01-12,2004-01-12,January
1706,2004-01-07,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,22,Foot lacerated,N,,Raggedtooth shark,2004-01-07,2004-01-07,January
1707,2004-01-03,2004.0,Invalid,NEW ZEALAND,North Island,"Whiritoa, Eastern Cormandel",Kayaking (returning from spearfishing),M,,"No injury, no attack, shark took fish from back of kayak",,Afternoon,Invalid,,,January
1708,2004-01-03,2004.0,Sea Disaster,EGYPT,Sinai Peninsula,Off Sharm El-Sheikh,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,,"No survivors, sharks scavenged on remains",Y,03h00,,,,January
1709,2004-01-01,2004.0,Unprovoked,AUSTRALIA,Western Australia,Redgate Beach,Surfing,M,,No inury,N,Morning,,,,January
1710,2003-12-31,2003.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,,,,No injury to occupants,N,,Shortfin mako shark,2003-12-31,2003-12-31,December
1711,2003-12-26,2003.0,Invalid,USA,Florida,"Miami, Dade County",Swimming,M,28,Knee lacerated,,,Questionable Incident,2003-12-26,2003-12-26,December
1712,2003-12-13,2003.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,Foot bitten,N,13h15,,,,December
1713,2003-12-13,2003.0,Unprovoked,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,45,FATAL,Y,Night,,,,December
1714,2003-12-08,2003.0,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,36,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,09h30,,2003-12-08,2003-12-08,December
1715,2003-11-30,2003.0,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,,"After biting Halverson, it bit Scott's thigh",N,11h30,"Wobbegong shark, 1.2 m [4'] ",,,November
1716,2003-11-30,2003.0,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,,Hand & foot bitten,N,11h30,"Wobbegong shark, 1.2 m [4'] ",,,November
1717,2003-11-27,2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,21,"Presumed FATAL, severed hand recovered",Y,>08h00,"Tiger shark, 4 m [13']  ?",2003-11-27,2003-11-27,November
1718,2003-11-22,2003.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,F,35,Severe abrasion to left lateral calf,N,15h30,4' shark,2003-11-22,2003-11-22,November
1719,2003-11-12,2003.0,Unprovoked,INDIA,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,M,35,Left index finger lacerated,N,,Tiger shark?,,,November
1720,2003-11-12,2003.0,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to hand,N,,,,,November
1721,2003-11-06,2003.0,Unprovoked,EGYPT,Sinai Peninsula,"Shaab Mahmud, Ras Mohamed Park",Snorkeling,M,,Hand/elbow injured,N,,2.5 oceanic whitetip shark,,,November
1722,2003-11-06,2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,Surf skiing,,,"No injury to occupants, hull of ski bitten",N,,White shark,,,November
1723,2003-11-01,2003.0,Unprovoked,AUSTRALIA,New South Wales,"Seal Rocks, north of Newcastle",Standing,M,,Minor lacerations to leg & foot,N,Dusk,,2003-11-01,2003-11-01,November
1724,2003-11-01,2003.0,Provoked,PANAMA,Pearl Islands,,Spearfishing,M,,Left forearm bitten PROVOKED INCIDENT,N,,"Nurse shark, 60 cm to 90 cm [2' to 3'] ",,,November
1725,2003-10-31,2003.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,18,Left foot (sole) bitten,N,15h00,1.2 m to 1.5 m [4' to 5'] shark,,,October
1726,2003-10-31,2003.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,Left ankle & foot lacerated,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",,,October
1727,2003-10-31,2003.0,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,Left arm severed below shoulder,N,07h30,"Tiger shark, 14' ",,,October
1728,2003-10-27,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,Laceration on right ankle & heel,N,12h20,,2003-10-27,2003-10-27,October
1729,2003-10-24,2003.0,Invalid,USA,Hawaii,Honolua Bay,Snorkeling,M,56,Left forearm lacerated,,12h20,Shark involvement not confirmed,2003-10-24,2003-10-24,October
1730,2003-10-14,2003.0,Unprovoked,USA,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,19,Foot bitten,N,--,1.2 m [4'] shark,2003-10-14,2003-10-14,October
1731,2003-10-06,2003.0,Invalid,USA,Florida,Palm Beach?,Swimming to shore from boat or kayak,M,,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Y,--,Shark involvement prior to death was not confirmed,2003-10-06,2003-10-06,October
1732,2003-10-05,2003.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,F,,Minor puncture wounds in hand,N,15h00,,,,October
1733,2003-10-05,2003.0,Unprovoked,USA,Florida,"Stuart Park Beach, Martin County",Surfing,M,18,5 to 6 lacerations on right foot & ankle,N,14h30,,,,October
1734,2003-10-05,2003.0,Provoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,30,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N,14h00,,,,October
1735,2003-10-05,2003.0,Unprovoked,USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,M,50,Left foot bitten,N,12h02,,,,October
1736,2003-10-05,2003.0,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,12h55,"1.2 m [4'] ""grey-colored shark""",,,October
1737,2003-09-29,2003.0,Unprovoked,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,M,40,FATAL abdomen bitten,Y,Night,,2003-09-29,2003-09-29,September
1738,2003-09-28,2003.0,Unprovoked,USA,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,16,Arm lacerated,N,07h45,,2003-09-28,2003-09-28,September
1739,2003-09-21,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,Left foot bitten,N,11h45,,2003-09-21,2003-09-21,September
1740,2003-09-19,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,Left heel lacerated,N,16h30,,2003-09-19,2003-09-19,September
1741,2003-09-17,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,3 puncture wounds on left foot,N,14h00,,2003-09-17,2003-09-17,September
1742,2003-09-14,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30,Left foot: lacerations on heel and sole,N,16h14,3' shark,,,September
1743,2003-09-14,2003.0,Boat,SOUTH AFRICA,Western Cape Province,Melkbosstrand,Fishing ,,36 & 26,"No injury to occupants, shark bit boat",N,09h40,2 m cow shark,,,September
1744,2003-09-14,2003.0,Invalid,USA,Florida,"Bathtub Reef Beach, Martin County",Swimming,F,8 or 10,Puncture wounds on inner thigh,,13h30,Shark involvement doubtful,,,September
1745,2003-09-13,2003.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",Body boarding,M,18,Left calf avulsion,N,17h11,6' shark,,,September
1746,2003-09-13,2003.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,15,Ankle lacerated,N,Afternoon,7' shark,,,September
1747,2003-09-12,2003.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Body boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,14h30,White shark,2003-09-12,2003-09-12,September
1748,2003-09-01,2003.0,Unprovoked,USA,Florida,"Boca Grande, Lee County",Wade-fishing,M,,2 lacerations on each side of Achilles tendon,N,,,,,September
1749,2003-08-29,2003.0,Provoked,USA,Texas,1.5 miles off Surfside ,Fishing,M,,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,N,12h20,1.2 m [4'] bull shark,2003-08-29,2003-08-29,August
1750,2003-08-19,2003.0,Unprovoked,USA,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,08h15,4.5 m to 5.5 m [15' to 18'] white shark,2003-08-19,2003-08-19,August
1751,2003-08-12,2003.0,Invalid,USA,California,"Venice Beach, Los Angeles County",Swimming,M,31,Left ankle lacerated,,00h30,Shark involvement not confirmed,2003-08-12,2003-08-12,August
1752,2003-08-08,2003.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Sitting on surfboard,M,16,"No injury, wetsuit torn & board bitten",N,08h00,3.5 m [11.5'] white shark,2003-08-08,2003-08-08,August
1753,,2003.0,Unprovoked,AUSTRALIA,Northern Territory,Nhulunbuy,Surf skiing,M,37,"No injury, flung into water when shark bit rudder of ski",N,,,,,
1754,2003-07-20,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,18,Laceration to little finger of  right hand,N,15h45,,2003-07-20,2003-07-20,July
1755,2003-07-15,2003.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,15,Heel & sole of left foot,N,14h37,,2003-07-15,2003-07-15,July
1756,2003-07-10,2003.0,Unprovoked,BAHAMAS,Abaco Islands,Bakers Bay,Spearfishing,M,58,Right thigh bitten,N,14h30,Unidentified species,2003-07-09,2003-07-09,July
1757,2003-07-05,2003.0,Provoked,USA,Florida,"Near New Smyrna Jetty, Volusia County","Walking, carrying surfboard & stepped on shark",M,10,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,10h07,2' shark,,,July
1758,2003-07-05,2003.0,Unprovoked,USA,Florida,"Canova Beach, Brevard County",Surfing,M,21,Left foot bitten,N,,1.5 m to 1.8 m [5' to 6'] shark,,,July
1759,2003-07-04,2003.0,Unprovoked,BAHAMAS,Abaco Islands,10 miles west of Walkers Cay,Spearfishing,M,39,Left calf bitten,N,14h45,2.1 m  [7'] bull shark,2003-07-04,2003-07-04,July
1760,2003-07-01,2003.0,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Spearfishing,M,,Laceration to toe,N,,8' great hammerhead shark,,,July
1761,,2003.0,Unprovoked,FRENCH POLYNESIA,Society Islands,Moorea,Spearfishing,M,,Leg bitten,N,,,,,
1762,2003-07-01,2003.0,Unprovoked,NEW ZEALAND,Cook Islands,Beveridge Reef,Snorkeling,M,,Chest & buttocks  bitten,N,,Grey reef shark,,,July
1763,2003-06-30,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot & toes lacerated,N,13h53,Unidentified species,2003-06-30,2003-06-30,June
1764,2003-06-26,2003.0,Unprovoked,USA,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,Ankle lacerated,N,Morning,106 cm [3.5']  shark,2003-06-26,2003-06-26,June
1765,2003-06-24,2003.0,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",,M,,FATAL,Y,,,,,June
1766,2003-06-24,2003.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,F,12,2 lacerations to the thigh,N,Afternoon,small brown shark,,,June
1767,2003-06-24,2003.0,Unprovoked,USA,Hawaii,"Makua Beach, Oahu",Swimming with pod of dolphins,M,60,Right foot bitten,N,08h00,3.7 m to 4.3 m [12' to 14'] shark,,,June
1768,2003-06-22,2003.0,Unprovoked,USA,Johnston Atoll,,Swimming,M,51,Left leg bitten,N,Afternoon,Unidentified species,2003-06-22,2003-06-22,June
1769,2003-06-19,2003.0,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Surfing ,M,33,Hand bitten ,N,Late afternoon,"""sand shark""",2003-06-19,2003-06-19,June
1770,2003-06-08,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,,15,6 puncture wounds to left ankle,N,11h55,,2003-06-08,2003-06-08,June
1771,2003-06-01,2003.0,Invalid,USA,South Carolina,"Pawleys Island, Georgetown County",Swimming,F,22,Foot lacerated,,,Shark involvement not confirmed,,,June
1772,2003-05-25,2003.0,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,M,18,Left foot lacerated,N,10h00,,2003-05-25,2003-05-25,May
1773,2003-05-14,2003.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,22,Left foot bitten,N,13h23,3' to 5' shark,2003-05-14,2003-05-14,May
1774,2003-05-10,2003.0,Unprovoked,USA,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,M,20,Right calf & heel bitten,N,11h45,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,2003-05-10,2003-05-10,May
1775,2003-05-07,2003.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,34,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N,11h40,4' to 5' shark,2003-05-07,2003-05-07,May
1776,2003-05-03,2003.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Walking,F,9,Laceration to right lower leg,N,12h20,,2003-05-03,2003-05-03,May
1777,2003-05-01,2003.0,Unprovoked,PHILIPPINES,Baatan,Limay,,,,Arm severed,N,,White shark,,,May
1778,2003-04-26,2003.0,Provoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Killing  sharks,M,,Shallow  lacerations to left  thigh PROVOKED INCIDENT,N,,,2003-04-26,2003-04-26,April
1779,2003-04-25,2003.0,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming ,M,16,Bitten on finger,N,18h30,,2003-04-25,2003-04-25,April
1780,2003-04-23,2003.0,Unprovoked,BRAZIL,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",Surfing,M,17,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,17h00,Bull shark,,,April
